artist_clean,macro_genre,sub_genre,energy_level,mood
forfun,rock,alternative rock,medium,"happy, energetic, melancholic"
astrix,electronic,psytrance,very_high,"energetic, psychedelic"
limp bizkit,rock,nu metal,very_high,"aggressive, energetic"
linkin park,rock,nu metal,high,"aggressive, energetic, melancholic"
vegas,electronic,synth pop,medium,"happy, energetic"
blink182,rock,pop punk,high,"happy, energetic"
freedom fighters,electronic,dance music,high,"energetic, happy"
groundbass,electronic,ambient techno,low,"calm, melancholic"
system of a down,metal,alternative metal,high,"aggressive, energetic, psychedelic"
blazy,electronic,chillwave ambient,low,"calm, melancholic"
neelix,electronic,psytrance,high,"energetic, happy, psychedelic"
vini vici,electronic,psytrance,very_high,"energetic, happy, psychedelic"
electric universe,electronic,psychedelic trance,high,"energetic, psychedelic"
captain hook,rock,alternative rock,medium,"melancholic, energetic"
phaxe,electronic,progressive trance,high,"energetic, psychedelic"
the offspring,rock,punk rock,high,"energetic, aggressive"
omiki,electronic,ambient techno,low,"calm, melancholic"
ranji,electronic,ambient techno,low,"calm, melancholic"
avenged sevenfold,metal,heavy metal,high,"aggressive, energetic, melancholic"
synthatic,electronic,synthwave,medium,"calm, psychedelic, energetic"
ghost rider,rock,alternative rock,medium,"melancholic, energetic"
avalon,pop,synth pop,medium,"happy, energetic"
a day to remember,rock,post-hardcore pop-punk,high,"energetic, aggressive, happy"
slipknot,metal,nu metal,very_high,"aggressive, energetic"
vermont,electronic,ambient techno,low,"calm, melancholic"
terra,electronic,ambient techno,low,"calm, melancholic"
bloodywood,metal,folk metal,high,"aggressive, energetic"
tijah,electronic,synth pop,medium,"calm, happy"
merkaba,electronic,downtempo ambient,low,"calm, melancholic, psychedelic"
avicii,electronic,progressive house,high,"happy, energetic"
mitsunari br,electronic,experimental ambient,low,"calm, melancholic"
invasion,electronic,synthwave,medium,"calm, energetic"
charlie brown jr,rock,alternative rock,medium,"energetic, happy, melancholic"
gms,electronic,psytrance,high,"energetic, psychedelic"
the ghost inside,metal,metalcore,very_high,"aggressive, energetic"
sum 41,rock,pop punk,high,"energetic, happy, aggressive"
anavitria,electronic,ambient techno,low,"calm, melancholic"
ace ventura,other,soundtrack comedy,medium,"happy, energetic"
celestial aeon project,electronic,ambient trance,low,"calm, psychedelic"
calvin harris,electronic,dance pop,high,"happy, energetic"
foo fighters,rock,alternative rock,high,"energetic, aggressive"
avan7,electronic,synth pop,medium,"happy, energetic"
tisto,electronic,progressive house,high,"energetic, happy"
technical hitch,electronic,experimental techno,medium,"calm, psychedelic, energetic"
killerwatts,electronic,bass music,high,"energetic, psychedelic"
korn,metal,nu metal,high,"aggressive, energetic, melancholic"
falling in reverse,rock,post-hardcore,high,"aggressive, energetic, melancholic"
blastoyz,electronic,psytrance,high,"energetic, happy"
swedish house mafia,electronic,house music,high,"happy, energetic"
howard shore,other,film score,low,"calm, melancholic"
armin van buuren,electronic,trance progressive,high,"energetic, happy"
strike,rock,alternative rock,medium,"energetic, melancholic"
braza,other,experimental electronic,medium,"calm, psychedelic"
rinkadink,electronic,glitch hop,medium,"happy, energetic"
skindred,rock,metal reggae fusion,high,"energetic, aggressive"
bring me the horizon,metal,post-hardcore metalcore,high,"aggressive, energetic, melancholic"
green day,rock,punk rock,high,"energetic, aggressive"
pitty,rock,alternative rock,medium,"melancholic, energetic"
jirayauai,other,experimental electronic,medium,"calm, psychedelic"
basscannon,electronic,dubstep bass,very_high,"energetic, aggressive"
trilhas e razes,other,world music,medium,"calm, melancholic, psychedelic"
altruism,electronic,ambient techno,low,"calm, melancholic"
mahakatha,other,experimental fusion,medium,"calm, psychedelic"
faders,electronic,synth pop,medium,"happy, energetic"
pandora,electronic,synth pop,medium,"calm, happy"
sajanka,electronic,ambient techno,low,"calm, melancholic"
mrkitty,electronic,synthwave darkwave,medium,"melancholic, energetic"
dimitri vegas like mike,electronic,big room house,very_high,"happy, energetic"
the rasmus,rock,alternative rock,medium,"melancholic, energetic"
liquid soul,electronic,liquid drum and bass,high,"energetic, happy, psychedelic"
aronchupa,electronic,dance pop,high,"happy, energetic"
coldplay,rock,alternative rock,medium,"calm, happy, melancholic"
charlotte de witte,electronic,techno,high,"energetic, aggressive"
antonio vivaldi,other,classical baroque,medium,"calm, melancholic"
fresno,rock,alternative rock,medium,"melancholic, energetic"
cronocops,electronic,synthwave retro,medium,"calm, energetic"
pantera,metal,groove metal,very_high,"aggressive, energetic"
rage against the machine,rock,rap metal,very_high,"aggressive, energetic"
dead musicians society,rock,alternative rock,medium,"melancholic, energetic"
talpa,electronic,psychedelic trance,high,"energetic, psychedelic"
gorillaz,electronic,alternative hip hop,medium,"energetic, melancholic, psychedelic"
major7,electronic,chillwave ambient,low,"calm, melancholic"
cpm 22,rock,punk rock,high,"energetic, aggressive"
perfect stranger,electronic,progressive house,medium,"calm, happy, energetic"
rfs du sol,electronic,indie dance,medium,"calm, happy, energetic"
nx zero,rock,alternative rock,medium,"energetic, melancholic"
all in one,other,experimental fusion,medium,"calm, psychedelic, energetic"
animato,electronic,synth pop,medium,"calm, happy"
querox,electronic,ambient techno,medium,"calm, psychedelic"
loveless,rock,shoegaze dream-pop,low,"calm, melancholic, psychedelic"
shanti people,electronic,chill out,medium,"calm, happy, psychedelic"
ludwig van beethoven,other,classical music,medium,"calm, melancholic"
kataklysm,metal,death metal,very_high,"aggressive, energetic"
meduza,electronic,house music,high,"happy, energetic"
damian marley,reggae,dancehall reggae,medium,"happy, energetic"
evanescence,rock,gothic rock,medium,"melancholic, energetic"
bullet for my valentine,metal,metalcore,very_high,"aggressive, energetic"
skank,reggae,ska reggae fusion,medium,"happy, energetic"
earthspace,electronic,ambient techno,low,"calm, melancholic, psychedelic"
menumas,electronic,ambient techno,low,"calm, melancholic"
the chainsmokers,electronic,dance pop,high,"happy, energetic"
architects,metal,metalcore,very_high,"aggressive, energetic"
wolfgang amadeus mozart,other,classical,low,"calm, melancholic"
aura vortex,electronic,ambient techno,low,"calm, psychedelic"
the whispering hymn,other,ambient folk,low,"calm, melancholic"
rising dust,electronic,ambient downtempo,low,"calm, melancholic"
chapeleiro,electronic,psychedelic trance,high,"energetic, happy"
imagine dragons,rock,alternative rock,medium,"energetic, happy, melancholic"
claudinho brasil,other,brazilian pop,medium,"happy, energetic"
tristan,electronic,ambient techno,low,"calm, melancholic"
sowulo,other,ambient folk,low,"calm, melancholic"
hilight tribe,electronic,tribal house,high,"energetic, happy, psychedelic"
mudvayne,metal,nu metal,high,"aggressive, energetic"
hillsong united,rock,worship rock,medium,"calm, happy, energetic"
adama,electronic,ambient techno,low,"calm, melancholic"
red hot chili peppers,rock,funk rock,high,"energetic, happy, psychedelic"
3 of life,other,experimental electronic,medium,"calm, psychedelic, energetic"
metallica,metal,thrash metal,very_high,"aggressive, energetic"
roberta campos,pop,brazilian pop,medium,"happy, calm"
alpha portal,electronic,psychedelic trance,high,"energetic, psychedelic"
bob marley the wailers,reggae,roots reggae,medium,"calm, happy, energetic"
webra,electronic,ambient techno,low,"calm, melancholic"
perception,electronic,ambient techno,low,"calm, melancholic"
audioslave,rock,alternative metal,high,"aggressive, energetic, melancholic"
alice in chains,rock,grunge alternative metal,medium,"melancholic, aggressive"
roby giordana,electronic,tech house,medium,"happy, energetic"
far east movement,hip_hop,electronic hip hop,high,"happy, energetic"
alok,electronic,dance music,high,"happy, energetic"
megadeth,metal,thrash metal,very_high,"aggressive, energetic"
dekel,electronic,ambient techno,low,"calm, melancholic"
m83,electronic,synth pop,medium,"calm, melancholic, psychedelic"
avalien,electronic,ambient techno,low,"calm, melancholic, psychedelic"
detonautas roque clube,rock,alternative rock,medium,"energetic, happy, melancholic"
raul seixas,rock,brazilian rock,medium,"happy, psychedelic, energetic"
machete bomb,other,experimental rock,medium,"energetic, psychedelic"
post malone,hip_hop,rap rock pop,medium,"happy, energetic, melancholic"
morten granau,electronic,progressive house,high,"energetic, happy"
konaefiz,electronic,ambient techno,low,"calm, melancholic"
rubel,other,indie pop,medium,"calm, happy, melancholic"
parov stelar,electronic,electro swing,medium,"happy, energetic"
thiaguinho,other,samba pop,medium,"happy, energetic"
papa roach,rock,alternative metal,high,"aggressive, energetic"
nf,hip_hop,emotional rap,medium,"melancholic, energetic"
berg,electronic,ambient techno,low,"calm, melancholic"
steve aoki,electronic,electro house,very_high,"happy, energetic"
onerepublic,pop,alternative rock,medium,"happy, energetic, melancholic"
mad maxx,electronic,hard trance,high,"energetic, happy"
harry styles,pop,synth pop,medium,"happy, energetic"
trampsta,electronic,trap music,high,"energetic, happy"
chemical noise,electronic,experimental noise,medium,"psychedelic, energetic"
mandragora,electronic,psychedelic trance,high,"energetic, psychedelic"
kvsh,electronic,future bass,high,"energetic, happy"
budang,other,experimental electronic,medium,"calm, psychedelic"
creed,rock,post-grunge alternative,medium,"melancholic, energetic"
three days grace,rock,post-grunge alternative,high,"aggressive, energetic, melancholic"
jack johnson,rock,acoustic rock,low,"calm, happy"
maroon 5,pop,pop rock,medium,"happy, energetic"
nelson gonalves,other,brazilian popular music,medium,"calm, happy, melancholic"
indira paganotto,electronic,techno house,high,"energetic, happy"
mekkanikka,electronic,industrial techno,high,"energetic, aggressive"
pod,rock,alternative rock,medium,"melancholic, energetic"
reverence,other,experimental ambient,low,"calm, melancholic, psychedelic"
memento mori,other,dark ambient,low,"calm, melancholic, psychedelic"
legio urbana,rock,alternative rock,medium,"melancholic, energetic"
mad tribe,electronic,psytrance,very_high,"energetic, psychedelic"
marjorie estiano,pop,singer songwriter,medium,"calm, happy, melancholic"
munknrr,electronic,experimental ambient,low,"calm, melancholic"
mavic,electronic,ambient techno,low,"calm, melancholic"
lagum,pop,indie pop,medium,"happy, energetic"
adele,pop,soulful ballad,low,"calm, melancholic"
undercover,electronic,synth pop,medium,"calm, happy, psychedelic"
new west,rock,alternative country,medium,"calm, melancholic, happy"
rise against,rock,punk rock,high,"aggressive, energetic"
hateen,rock,alternative rock,medium,"melancholic, energetic"
disturbed,metal,alternative metal,high,"aggressive, energetic"
sepultura,metal,thrash metal,very_high,"aggressive, energetic"
david guetta,electronic,dance pop,high,"happy, energetic"
pettra,electronic,synth pop,medium,"happy, energetic"
drowning pool,metal,nu metal,very_high,"aggressive, energetic"
dubdogz,electronic,house music,high,"happy, energetic"
nando reis,rock,alternative rock,medium,"calm, melancholic, happy"
illusionize,electronic,house music,high,"energetic, happy"
o rappa,reggae,rock reggae fusion,medium,"happy, energetic, melancholic"
rosa walton,pop,indie pop,medium,"calm, happy, melancholic"
spiritbox,metal,progressive metal,high,"aggressive, energetic, melancholic"
talamasca,electronic,psytrance,high,"energetic, psychedelic"
the weeknd,pop,alternative R&B,medium,"melancholic, energetic"
ls jack,other,indie pop,medium,"happy, energetic"
dezko,electronic,future bass,high,"energetic, happy"
adalamoon,electronic,synth pop,medium,"calm, happy, energetic"
xalv,electronic,ambient techno,low,"calm, melancholic"
hi profile,electronic,synth pop,medium,"happy, energetic"
burn in noise,electronic,psytrance,high,"energetic, psychedelic"
martin garrix,electronic,progressive house,high,"happy, energetic"
eminem,hip_hop,"rap, hip hop",high,"aggressive, energetic"
jorge mateus,other,sertanejo universitário,medium,"happy, energetic"
becker,other,indie pop,medium,"calm, happy"
crystal castles,electronic,synthpop noise,high,"energetic, aggressive, psychedelic"
maneva,reggae,roots reggae,medium,"calm, happy"
dzp,electronic,experimental ambient,low,"calm, melancholic"
kavinsky,electronic,synthwave,medium,"melancholic, energetic"
amanati,electronic,ambient techno,low,"calm, melancholic"
ini kamoze,reggae,dancehall,medium,"happy, energetic"
bad omens,rock,post-hardcore,high,"aggressive, energetic, melancholic"
os paralamas do sucesso,rock,alternative rock,medium,"happy, energetic, melancholic"
decapitated,metal,death metal,very_high,"aggressive, energetic"
stuff,other,experimental rock,medium,"calm, melancholic, psychedelic"
fury in few,metal,post-hardcore,high,"aggressive, energetic"
the kid laroi,hip_hop,pop rap,medium,"happy, energetic"
world complete,other,experimental electronic,medium,"calm, psychedelic"
memphis may fire,metal,post-hardcore,high,"aggressive, energetic"
deorro,electronic,progressive house,high,"happy, energetic"
spectra sonics,electronic,ambient techno,low,"calm, psychedelic"
uncharted territory,other,experimental rock,medium,"calm, psychedelic, melancholic"
glowing aura,electronic,ambient pop,low,"calm, melancholic"
soja,reggae,roots reggae,medium,"calm, happy"
miley cyrus,pop,dance pop,high,"happy, energetic"
pixote,other,samba pop,medium,"happy, energetic"
gilsons,pop,brazilian pop,medium,"happy, calm"
pearl jam,rock,grunge alternative,medium,"melancholic, energetic"
lilly palmer,electronic,techno house,high,"energetic, happy"
mareux,electronic,dark wave,medium,"melancholic, psychedelic"
wnboss,electronic,experimental ambient,low,"calm, melancholic"
staticx,metal,industrial metal,very_high,"aggressive, energetic"
burn the priest,metal,heavy metal,very_high,"aggressive, energetic"
vintage culture,electronic,house music,high,"happy, energetic"
shanka tribe,other,tribal fusion,medium,"calm, psychedelic, energetic"
macedo,electronic,synth pop,medium,"happy, energetic"
nicolas julian,electronic,house music,medium,"happy, energetic"
raz,electronic,ambient techno,low,"calm, melancholic"
schrotthagen,other,experimental rock,medium,"melancholic, psychedelic"
sonic species,electronic,psytrance,very_high,"energetic, psychedelic"
plenka,electronic,ambient techno,low,"calm, melancholic"
the neighbourhood,rock,indie pop,medium,"calm, melancholic, energetic"
lavern,other,experimental pop,medium,"calm, psychedelic"
emov,rock,emo rock,medium,"melancholic, energetic"
marilyn manson,metal,industrial rock,high,"aggressive, melancholic, energetic"
marti shanti,other,experimental ambient,low,"calm, melancholic"
bhaskar,electronic,dance music,high,"energetic, happy"
kova,electronic,synth pop,medium,"calm, happy"
alpha blondy,reggae,roots reggae,medium,"calm, happy, energetic"
my chemical romance,rock,emo punk rock,high,"aggressive, melancholic, energetic"
emmure,metal,deathcore metal,very_high,"aggressive, energetic"
maddix,electronic,future house,high,"energetic, happy"
marshmello,electronic,future bass,high,"happy, energetic"
caskets,rock,post-hardcore,high,"aggressive, energetic, melancholic"
parasynthax,electronic,synthwave ambient,medium,"calm, psychedelic"
absolem,electronic,experimental ambient,low,"calm, melancholic, psychedelic"
space tribe,electronic,psychedelic trance,high,"energetic, psychedelic"
synthwave goose,electronic,synthwave,medium,"calm, happy, energetic"
headroom,electronic,ambient techno,low,"calm, melancholic"
vj,electronic,ambient techno,low,"calm, melancholic"
matheus kauan,pop,sertanejo pop,medium,"happy, energetic"
dead fish,rock,punk rock,high,"aggressive, energetic"
hozier,rock,indie folk,medium,"calm, melancholic, happy"
kublai khan tx,metal,hardcore punk,very_high,"aggressive, energetic"
supermode,electronic,house music,high,"happy, energetic"
sumiruna,other,experimental ambient,low,"calm, melancholic, psychedelic"
slaughter to prevail,metal,deathcore,very_high,"aggressive, energetic"
klische,electronic,synth pop,medium,"calm, happy"
polaris,rock,post-rock,medium,"calm, melancholic, psychedelic"
henrique juliano,pop,sertanejo universitário,medium,"happy, energetic"
melim,pop,indie pop,medium,"happy, calm"
sesto sento,electronic,psytrance,high,"energetic, happy, psychedelic"
domestic,electronic,ambient house,low,"calm, melancholic"
aesthetic perfection,electronic,synthpop industrial,medium,"energetic, melancholic"
franz schubert,other,classical romantic,low,"calm, melancholic"
pixies,rock,alternative rock,medium,"aggressive, energetic, melancholic"
jason aldean,other,country rock,medium,"happy, energetic"
the ink spots,other,vocal jazz,low,"calm, melancholic"
cssia eller,pop,synth pop,medium,"happy, energetic"
paramore,rock,pop punk,high,"energetic, happy, aggressive"
dragon ball,other,anime soundtrack,medium,"energetic, happy, psychedelic"
ritmo,electronic,dance pop,high,"happy, energetic"
sonata arctica,metal,power metal,high,"energetic, melancholic"
ekkstacy,rock,alternative rock,medium,"melancholic, energetic"
30 seconds to mars,rock,alternative rock,high,"energetic, aggressive, melancholic"
halsey,pop,electropop alternative,medium,"melancholic, energetic"
hans zimmer,other,film score,medium,"calm, melancholic, energetic"
sleep token,rock,alternative metal,medium,"melancholic, energetic"
simple plan,rock,pop punk,high,"energetic, happy, aggressive"
odesza,electronic,chillwave future bass,medium,"calm, happy, energetic"
chimarruts,reggae,roots reggae,medium,"calm, happy"
major lazer,electronic,dancehall electronic,high,"happy, energetic"
subtonic,electronic,ambient techno,low,"calm, melancholic"
bury tomorrow,metal,metalcore,very_high,"aggressive, energetic"
johann sebastian bach,other,baroque classical,low,"calm, melancholic"
hevo84,electronic,synthwave,medium,"calm, energetic"
lewis capaldi,pop,singer-songwriter,low,"calm, melancholic"
katy perry,pop,dance pop,high,"happy, energetic"
arctic monkeys,rock,indie rock,medium,"energetic, melancholic"
mama quilla,other,world music,medium,"calm, happy, melancholic"
alpha wolf,metal,metalcore,very_high,"aggressive, energetic"
we came as romans,metal,post-hardcore,high,"aggressive, energetic, melancholic"
phantom br,electronic,ambient techno,low,"calm, melancholic"
unstable,electronic,experimental ambient,low,"calm, melancholic"
jah live,reggae,roots reggae,medium,"calm, happy, melancholic"
beltran,electronic,ambient techno,low,"calm, melancholic"
daniel deluxe,electronic,synthwave,medium,"calm, energetic"
audiomatic,electronic,synth pop,medium,"happy, energetic"
vector seven,electronic,synthwave,medium,"calm, energetic"
billy idol,rock,new wave,high,"energetic, happy, aggressive"
depeche mode,electronic,synth-pop,medium,"melancholic, energetic"
oliver tree,electronic,alternative pop,medium,"energetic, happy, melancholic"
gojira,metal,progressive death,very_high,"aggressive, energetic, melancholic"
alesso,electronic,progressive house,high,"happy, energetic"
alceu valena,other,MPB,medium,"calm, happy, melancholic"
elis regina,other,bossa nova,low,"calm, melancholic"
manifest now,other,experimental pop,medium,"calm, psychedelic, energetic"
eekamouse,reggae,dancehall,medium,"happy, energetic"
restricted,other,experimental rock,medium,"calm, melancholic, psychedelic"
dang3r,electronic,experimental bass,high,"energetic, psychedelic"
ww,other,experimental electronic,medium,"calm, psychedelic"
blind guardian,metal,power metal,high,"energetic, aggressive, melancholic"
pixel,electronic,synth pop,medium,"happy, energetic"
timmy trumpet,electronic,dance music,very_high,"happy, energetic"
pato fu,rock,alternative rock,medium,"happy, energetic, psychedelic"
dvrst,electronic,lofi hip hop,low,"calm, melancholic"
ajja,electronic,psychedelic trance,high,"energetic, psychedelic"
planta e raiz,reggae,roots reggae,medium,"calm, happy"
travis scott,hip_hop,trap rap,high,"energetic, aggressive"
zyce,electronic,ambient techno,medium,"calm, psychedelic"
anyma,electronic,progressive house,high,"energetic, happy"
loud,rock,alternative rock,high,"energetic, aggressive"
mike posner,pop,electropop singer-songwriter,medium,"calm, happy, melancholic"
art of trance,electronic,trance music,high,"energetic, psychedelic"
breezy,pop,indie pop,medium,"happy, energetic"
boris brejcha,electronic,techno minimal,high,"energetic, psychedelic"
john summit,electronic,house music,high,"happy, energetic"
xir missioneiro,other,experimental electronic,medium,"calm, psychedelic, melancholic"
her last sight,rock,post-rock,medium,"melancholic, calm"
